design,method,method_label,wrong_order,rho,seed,ate_error,cf_rmse,cf_inconsistency,source
design_i,seqot,Seq-OT,False,0.7,9,0.268947314694067,0.519202539884898,0.006221989421167481,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,10,0.3696470205232558,0.6086947910430804,0.005049933262553799,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,11,0.26415739045735914,0.5001165821021022,0.00580305077177933,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,12,0.26785827200499646,0.5155603407694234,0.005431367302047326,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,13,0.495423333648549,0.8122379178520107,0.003825034466313911,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,14,0.09977774462228974,0.3477722707506345,0.004772692587137014,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,15,0.3616328681800921,0.6536088342299081,0.005411269148692064,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,16,0.24228024779945603,0.49832573057144336,0.006427111740121641,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,17,0.3130609579070284,0.5983691386075196,0.005990722557582173,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,18,0.27132632248929084,0.5395879707588415,0.0042423677990645,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,19,0.29000711937041534,0.5535012306119177,0.0043758154640863925,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,0,0.34563903742872665,0.5664522048489206,0.005995154832371366,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,1,0.5117462908751812,0.7753274524488633,0.006435108943933285,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,2,0.38175970254485564,0.6286504439949779,0.006435214608057563,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,3,0.46521111311958663,0.6858426246117281,0.006484636677076706,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,4,0.44611875655662303,0.7097676071313727,0.004314549613005252,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,5,0.5026694730787754,0.7545243314724197,0.005391959837108801,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,6,0.2402013431519063,0.5394378178083823,0.005139541502505649,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,7,0.500199680154716,0.7414728740788752,0.005359462577404518,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,8,0.4291504411689101,0.6706168046630965,0.004773359814130012,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,9,0.3941235953292306,0.665893515463966,0.005761408579865229,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,10,0.49543241298209584,0.7589769526081231,0.007418948060918725,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,11,0.3615706775727363,0.6132337014038883,0.01120892925304047,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,12,0.3831588016700507,0.6373299941107746,0.005087828072854775,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,13,0.591244323517804,0.8957661458258075,0.006875123668949092,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,14,0.21188593203717293,0.45949415308365416,0.005187185410345018,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,15,0.5140177320278355,0.7806774899128716,0.006547189564989621,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,16,0.33810521895291656,0.6010090098693786,0.005862537881480481,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,17,0.3999796063074344,0.6831161711724533,0.0044539566837379,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,18,0.38558578675364286,0.63611520207721,0.00495123180363668,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.9,19,0.36647959405601477,0.686278623090214,0.004883221548514975,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,0,0.4491543576524635,0.6814070825153202,0.005267957034961709,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,1,0.39707440898780844,0.6449157438919715,0.004639742733200967,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,2,0.38931978969425446,0.7111869482817356,0.005168462054261728,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,3,0.36623855735059924,0.6081942130371162,0.005469240650184735,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,4,0.45887241203334833,0.671174677905681,0.004286327223827003,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,5,0.4489628974656867,0.6861611794344006,0.004170400067876057,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,6,0.4990178088064409,0.7312673106882384,0.0052464364789129424,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,7,0.3858589904385042,0.5769838766511344,0.005260415114064644,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,8,0.4737085473135589,0.6896118355118386,0.005326344507015291,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,9,0.40694999862735015,0.6286837987069291,0.006111765273373208,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,10,0.3962350135507931,0.5955673956471402,0.005298774401417309,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,11,0.45171582683595557,0.6964090892223236,0.005308281390633601,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,12,0.44462945077383803,0.6788108430040435,0.005050287037306603,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,13,0.35659154330144877,0.5820068581335095,0.004715672070268066,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,14,0.5426964019547561,0.7831248269271972,0.00560975084599411,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,15,0.3741185335808142,0.6227485330810889,0.0056301669424314235,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,16,0.5035126005375412,0.7646313443557237,0.007698696974601893,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,17,0.45717624710355725,0.6618874061013005,0.005413045513266693,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,18,0.46370860729732916,0.6712386586540539,0.007107399300692395,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.1,19,0.4459649649501448,0.6873726168275246,0.004650618139651994,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,0,0.452447520699631,0.6719615159659118,0.005465772323421234,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,1,0.3928001344303902,0.6295847281200847,0.005751868444483065,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,2,0.4283191253304229,0.6935199148118274,0.005401470358744806,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,3,0.37173915242173955,0.6053407676621428,0.00814804976830176,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,4,0.4671350277783926,0.6820580875205574,0.004933861499981441,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,5,0.4437905600030835,0.678182896715808,0.006675266659816506,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,6,0.5087228545354485,0.7430930478211487,0.007407610896037292,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,7,0.3916538273243754,0.5836001739004494,0.0047667667707282126,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,8,0.4639016156270123,0.687169932740616,0.006009111286829969,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,9,0.4112765064109226,0.6325804862577404,0.0051936967832757,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,10,0.39712660652520887,0.6038145830456486,0.005366411512161323,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,11,0.46343256732025256,0.7145640379855468,0.005197376619530885,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,12,0.4654912746664435,0.7108439707122975,0.005356578096760942,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,13,0.3639732978939683,0.5926435613234593,0.004849768152750106,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,14,0.5329663160341348,0.77106120350214,0.006375088728152035,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,15,0.37353463209590587,0.6315804155696706,0.006231776126893094,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,16,0.5236044904648751,0.7727101891589586,0.0066120292148974065,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,17,0.4588669978042184,0.6611643975166377,0.0054812836397292565,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,18,0.4648544120913262,0.6771350336952652,0.006600695249731933,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.3,19,0.4399085600557455,0.6803800300034978,0.004607120746049987,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,0,0.45737986165189415,0.6708461926045132,0.005673873788875875,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,1,0.3857987141693828,0.6241026181300156,0.0058852904572443115,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,2,0.445278986237393,0.6958980981406405,0.007110064920797872,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,3,0.3889118730497399,0.606772581649366,0.005894867767392365,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,4,0.47393463380101203,0.6934879302234401,0.006474721592263851,seqot_results_chain.pt
