design,method,method_label,wrong_order,rho,n_raw,n_trimmed,ate_error_mean,ate_error_sd,ate_error_median,ate_error_q05,ate_error_q95,cf_rmse_mean,cf_rmse_sd,cf_rmse_median,cf_rmse_q05,cf_rmse_q95,cf_inconsistency_mean,cf_inconsistency_sd,cf_inconsistency_median,cf_inconsistency_q05,cf_inconsistency_q95
design_ii,seqot,Seq-OT (wrong order),True,0.5,20,14,0.0699488537442264,0.03383338527569516,0.0529371447708662,0.036294233970742405,0.12724169446490194,0.6728369300236225,0.0764692081692514,0.6569445664277245,0.5649525818877902,0.7770598710993827,0.0035984891440217956,0.00046201230101441953,0.0034926456131323122,0.003088719261956966,0.004428942764594559
design_ii,seqot,Seq-OT (wrong order),True,0.7,20,14,0.07906985627510237,0.03632503975862105,0.06440931154366833,0.03958977623102474,0.12988498647407729,0.7629899072247277,0.07293592686929308,0.7533744673274672,0.6410730760263953,0.8606093071196086,0.00350245993272564,0.0010173455243025753,0.0032136748143561274,0.002843745153750755,0.004886275220491507
design_ii,seqot,Seq-OT (wrong order),True,0.9,20,14,0.07871240117811937,0.03404337755391408,0.07149578548989724,0.03792543074216393,0.12788619164950948,0.7438762930807543,0.06349005364023438,0.7175164457962747,0.6753608894973857,0.8392902184148323,0.0032436893638391573,0.0003847810544284427,0.0032250481386589887,0.0027775114823339313,0.0038651887304575745
design_ii,cocycles,Cocycles,False,0.1,20,16,0.10217411781195551,0.05186307425142242,0.08694430068135262,0.030226335395127535,0.17505736649036407,0.24700817093253136,0.06061867572123949,0.2484448254108429,0.16477427631616592,0.3338291347026825,0.0,0.0,0.0,0.0,0.0
design_ii,cocycles,Cocycles,False,0.3,20,16,0.10064563527703285,0.038384673473212,0.10414614155888557,0.04918153956532478,0.15382882952690125,0.2747729392722249,0.04293613421803493,0.27447064220905304,0.2145957425236702,0.3315373510122299,0.0,0.0,0.0,0.0,0.0
design_ii,cocycles,Cocycles,False,0.5,20,16,0.09411566489143297,0.0485062310021666,0.09368345513939857,0.027824046788737178,0.1746336705982685,0.292432670481503,0.05346217915575243,0.29948200285434723,0.21736673265695572,0.38283517211675644,0.0,0.0,0.0,0.0,0.0
design_ii,cocycles,Cocycles,False,0.7,20,16,0.0833117002621293,0.049484860337648484,0.06790044531226158,0.035848669707775116,0.1533743292093277,0.26841168757528067,0.0448912949040667,0.25685203075408936,0.21013928949832916,0.33028754591941833,0.0,0.0,0.0,0.0,0.0
design_ii,cocycles,Cocycles,False,0.9,20,16,0.10336916672531515,0.044248721694725913,0.1061810702085495,0.03756027715280652,0.16488218680024147,0.3009976092725992,0.04437851954546806,0.30999186635017395,0.23304779082536697,0.35488753020763397,0.0,0.0,0.0,0.0,0.0
design_ii,cocycles,Cocycles (wrong order),True,0.1,20,16,0.08813268039375544,0.030888251611590662,0.08368292078375816,0.051774938590824604,0.1299511417746544,0.24985643103718758,0.04522079519166478,0.2412353679537773,0.19570917636156082,0.3152991086244583,0.0,0.0,0.0,0.0,0.0
design_ii,cocycles,Cocycles (wrong order),True,0.3,20,16,0.08527925400994718,0.03775466465656444,0.08442282304167747,0.03497959487140179,0.14331863820552826,0.5457206647843122,0.05350209283506275,0.533035546541214,0.4799756705760956,0.6216334104537964,0.0,0.0,0.0,0.0,0.0
design_ii,cocycles,Cocycles (wrong order),True,0.5,20,16,0.11470212461426854,0.0683182796128002,0.11569936200976372,0.028863772749900818,0.21144456416368484,0.9086755365133286,0.11157734673645547,0.9029934108257294,0.7685435712337494,1.0915955305099487,0.0,0.0,0.0,0.0,0.0
design_ii,cocycles,Cocycles (wrong order),True,0.7,20,16,0.1260876867454499,0.07523360848686543,0.09117628633975983,0.04192561935633421,0.2594032436609268,1.2751130014657974,0.09278498286670464,1.2814602255821228,1.1560211181640625,1.4018735885620117,0.0,0.0,0.0,0.0,0.0
design_ii,cocycles,Cocycles (wrong order),True,0.9,20,16,0.14813828864134848,0.0733599752932262,0.1438141092658043,0.04775701370090246,0.2718064412474632,1.6578811407089233,0.07552005209181789,1.6567456126213074,1.5408621430397034,1.7632044553756714,0.0,0.0,0.0,0.0,0.0
design_ii,ot,OT,False,0.1,20,14,0.09523379002012014,0.03217500979210643,0.09127674842316835,0.06066232804896173,0.14597453291306345,0.3684517423250332,0.022885220734448198,0.36346281387457996,0.344722075319917,0.4097866639510962,0.22122792589229892,0.015178563997403206,0.22119807765481853,0.1990459789540164,0.24090330577476882
design_ii,ot,OT,False,0.3,20,14,0.08331645961238089,0.038694771091683615,0.07659001098044078,0.03937191049649368,0.1479532445497612,0.42464948856273316,0.02650509515416765,0.4153373733471852,0.3931604846937048,0.46401319896188564,0.22592196045843335,0.014185839627877688,0.2277468083479554,0.20096657024478495,0.24250187628199077
design_ii,ot,OT,False,0.5,20,14,0.08777764360760497,0.04380465532763976,0.07185277597794629,0.03747467042641984,0.1510249611027432,0.5310827447854849,0.032012350273095236,0.5274504522750278,0.48109265798762035,0.5708948566114423,0.2569421954156254,0.017130199718207846,0.2628302611011594,0.22899993263753304,0.27485533557336184
design_ii,ot,OT,False,0.7,20,14,0.1022204569344884,0.04197112821726996,0.10665049379130037,0.0516776351902005,0.15881719683530682,0.6832137115722192,0.03814499986583822,0.6922301744253168,0.6249575638974835,0.7287233501017816,0.3146767008104282,0.03515481561114696,0.31175800317252556,0.2692326354336943,0.3730246009258216
design_ii,ot,OT,False,0.9,20,14,0.11221815861903085,0.04313113971115267,0.11430081322535446,0.06130091336252712,0.17251028010463004,0.8961449782374241,0.03629975334064052,0.8981716157776066,0.8433115107603087,0.9412100084771301,0.42757481673201786,0.031028481042927464,0.4283833772484239,0.37683729308516956,0.4664422519671856
